hand,color
AA,紺
AKs,紺
AKo,紺
KK,紺
QQ,紺
JJ,赤
TT,赤
99,赤
AQs,赤
AJs,赤
ATs,赤
KQs,赤
AQo,赤
88,黄
77,黄
KJs,黄
QJs,黄
JTs,黄
AJo,黄
KQo,黄
66,緑
55,緑
A9s,緑
A8s,緑
A7s,緑
A6s,緑
A5s,緑
A4s,緑
A3s,緑
A2s,緑
KTs,緑
K9s,緑
QTs,緑
T9s,緑
ATo,緑
KJo,緑
44,水色
33,水色
22,水色
Q9s,水色
J9s,水色
T8s,水色
98s,水色
A9o,水色
KTo,水色
QJo,水色
JTo,水色
K8s,白
K7s,白
K6s,白
K5s,白
K4s,白
K3s,白
K2s,白
Q8s,白
Q7s,白
Q6s,白
J8s,白
J7s,白
97s,白
87s,白
76s,白
65s,白
A8o,白
A7o,白
K9o,白
QTo,白
J9o,白
T9o,白
Q5s,グレー＋紫枠
Q4s,グレー＋紫枠
Q3s,グレー＋紫枠
Q2s,グレー＋紫枠
J6s,グレー＋紫枠
T7s,グレー＋紫枠
96s,グレー＋紫枠
86s,グレー＋紫枠
75s,グレー＋紫枠
64s,グレー＋紫枠
54s,グレー＋紫枠
A6o,グレー＋紫枠
98o,グレー＋紫枠
J5s,薄ピンク
J4s,薄ピンク
J3s,薄ピンク
J2s,薄ピンク
T6s,薄ピンク
T5s,薄ピンク
T4s,薄ピンク
T3s,薄ピンク
95s,薄ピンク
85s,薄ピンク
74s,薄ピンク
63s,薄ピンク
53s,薄ピンク
43s,薄ピンク
A5o,薄ピンク
A4o,薄ピンク
A3o,薄ピンク
A2o,薄ピンク
K8o,薄ピンク
K7o,薄ピンク
K6o,薄ピンク
K5o,薄ピンク
Q8o,薄ピンク
Q7o,薄ピンク
J8o,薄ピンク
T8o,薄ピンク
97o,薄ピンク
87o,薄ピンク
